(23, 1.7432e-05)
(24, 1.633e-05)
(25, 1.8766e-05)
(25, 1.7438e-05)
(25, 1.8239e-05)
(25, 1.6792e-05)
(25, 1.6579e-05)
(25, 1.6808e-05)
(25, 1.7723e-05)
(26, 1.7252e-05)
(26, 1.6683e-05)
(27, 1.7611e-05)
(27, 1.8822e-05)
(27, 1.755e-05)
(27, 1.7678e-05)
(27, 1.7832e-05)
(27, 1.8716e-05)
(27, 1.7952e-05)
(27, 1.6331e-05)
(27, 1.7469e-05)
(27, 1.6468e-05)
(26, 1.5683e-05)
(27, 1.6391e-05)
(27, 1.7709e-05)
(27, 1.6312e-05)
(27, 1.6734e-05)
(29, 2.2946e-05)
(28, 1.8663e-05)
(28, 1.7344e-05)
(28, 1.6626e-05)
(28, 1.6133e-05)
(28, 1.7829e-05)
(29, 1.6643e-05)
(29, 1.6837e-05)
(30, 1.7961e-05)
(30, 1.8032e-05)
(31, 1.7339e-05)
(31, 1.7508e-05)
(30, 1.8366e-05)
(31, 1.7907e-05)
(32, 1.8418e-05)
(33, 3.4959e-05)
(34, 1.9679e-05)
(34, 2.3955e-05)
(34, 2.0843e-05)
(34, 1.87e-05)
(35, 1.9608e-05)
(35, 2.02e-05)
(35, 1.8986e-05)
(35, 1.9393e-05)
(35, 2.0259e-05)
(35, 1.9422e-05)
(35, 1.8899e-05)
(35, 2.0331e-05)
(36, 1.9722e-05)
(38, 2.2288e-05)
(39, 2.1357e-05)
(39, 2.1483e-05)
(39, 2.2709e-05)
(38, 2.1027e-05)
(38, 2.0997e-05)
(38, 2.0923e-05)
(38, 1.9967e-05)
(38, 2.0268e-05)
(39, 2.0638e-05)
(39, 1.9987e-05)
(39, 2.1568e-05)
(42, 2.7683e-05)
(42, 2.1691e-05)
(43, 2.2321e-05)
(43, 2.2264e-05)
(43, 2.2221e-05)
(43, 2.2543e-05)
(43, 2.8561e-05)
(43, 2.2915e-05)
(43, 2.1645e-05)
(44, 2.2227e-05)
(44, 2.2966e-05)
(44, 2.3295e-05)
(46, 2.374e-05)
(46, 2.2591e-05)
(47, 2.4803e-05)
(49, 2.9038e-05)
(49, 2.4529e-05)
(49, 2.6138e-05)
(50, 2.5213e-05)
(50, 2.6324e-05)
(50, 2.752e-05)
(50, 2.5118e-05)
(50, 2.4277e-05)
(50, 2.5282e-05)
(51, 2.5015e-05)
(52, 2.654e-05)
(52, 2.6387e-05)
(51, 2.6108e-05)
(51, 2.4765e-05)
(51, 2.4624e-05)
(52, 2.611e-05)
(51, 2.4739e-05)
(51, 2.5717e-05)
(51, 2.5722e-05)
(50, 2.5754e-05)
(50, 2.5273e-05)
(53, 2.7656e-05)
(52, 2.652e-05)
(52, 3.3464e-05)
(52, 2.663e-05)
(53, 2.654e-05)
(52, 2.6141e-05)
(51, 2.4811e-05)
(51, 2.6059e-05)
(50, 2.4883e-05)
(51, 2.6084e-05)
(51, 2.5641e-05)
(54, 2.8104e-05)
(54, 2.6646e-05)
(53, 2.5436e-05)
(55, 2.8039e-05)
(56, 2.7724e-05)
(56, 2.9635e-05)
(56, 2.7569e-05)
(56, 2.8944e-05)
(58, 2.9702e-05)
(58, 3.0512e-05)
(58, 2.8869e-05)
(58, 2.9249e-05)
(58, 3.4047e-05)
(58, 2.9844e-05)
(58, 2.8393e-05)
(58, 2.9552e-05)
(58, 2.8885e-05)
(58, 3.0392e-05)
(59, 2.9155e-05)
(58, 2.9399e-05)
(59, 3.0236e-05)
(60, 2.9477e-05)
(61, 3.0575e-05)
(61, 3.0171e-05)
(61, 3.0907e-05)
(61, 2.9988e-05)
(61, 3.0497e-05)
(61, 3.0277e-05)
(60, 3.0227e-05)
(61, 3.0053e-05)
(62, 3.1307e-05)
(62, 3.0006e-05)
(63, 3.1468e-05)
(62, 3.0794e-05)
(64, 3.2897e-05)
(64, 3.2854e-05)
(66, 4.7691e-05)
(65, 3.3943e-05)
(64, 3.5813e-05)
(65, 3.3837e-05)
(66, 3.2949e-05)
(66, 3.4035e-05)
(66, 3.4011e-05)
(68, 3.3542e-05)
(69, 3.6469e-05)
(69, 3.6308e-05)
(69, 3.3999e-05)
(69, 3.4644e-05)
(69, 3.4621e-05)
(70, 3.5492e-05)
(72, 3.7335e-05)
(72, 3.5927e-05)
(71, 3.5274e-05)
(70, 3.4176e-05)
(70, 3.5544e-05)
(70, 3.4801e-05)
(70, 3.4702e-05)
(71, 3.5853e-05)
(71, 3.6281e-05)
(72, 3.8941e-05)
(72, 3.5879e-05)
(72, 3.5175e-05)
(71, 3.5054e-05)
(73, 4.1315e-05)
(73, 3.6855e-05)
(75, 3.63e-05)
(76, 3.9512e-05)
(75, 3.5985e-05)
(76, 3.8617e-05)
(77, 3.7969e-05)
(76, 3.8695e-05)
(74, 3.7943e-05)
(76, 3.9033e-05)
(76, 3.7202e-05)
(74, 3.753e-05)
(75, 3.8301e-05)
(75, 3.7984e-05)
(76, 3.8644e-05)
(75, 3.7785e-05)
(75, 3.7283e-05)
(75, 4.3153e-05)
(74, 3.7291e-05)
(73, 3.7975e-05)
(74, 3.6747e-05)
(76, 3.8666e-05)
(77, 4.0196e-05)
(77, 4.0086e-05)
(78, 3.9907e-05)
(78, 4.1762e-05)
(78, 4.0051e-05)
(79, 4.077e-05)
(78, 4.0569e-05)
(78, 4.1399e-05)
(77, 3.9005e-05)
(77, 4.143e-05)
